SMILES,QED,SA,predicted_pIC50
CCCC[C@@](C)(O)[C@H]1CCCC2=Cc3c(-c4ccc(F)cc4)ncn3C[C@@]21C,0.7059552716003824,4.056470161671779,6.264655012108814
Cc1noc(=O)c2ccc(NC(=O)C(O)(CC3(CC(C)C)CCCc4ccccc43)C(F)(F)F)cc12,0.4684574468408127,3.8293725530611553,6.5525676500060674
CCCCc1ccc(NC(=O)c2cnc3c(c(C)nn3-c3ccccc3)c2Cl)cc1,0.4188013307310468,2.1772990774609084,6.4378588090070865
COc1c(O)ccc2c1-c1ccc3c(c1/C(=C/c1cccc(C(F)(F)F)c1)O2)C(C)=CC(C)(C)N3,0.39773330000362667,3.04964919363786,8.639692719117063
COCCn1cnc2c(Cl)c(C(=O)Nc3ccc(C(C)C)cc3)cnc21,0.7066146406268735,2.361643609590109,5.382844028616358
CC1=CC(C)(C)Nc2ccc3c(c21)C(c1cc(Cl)cc(Cl)c1)Oc1ccccc1-3,0.4329193548331102,3.235015271990303,6.664880713666368
Cn1ncc(S(=O)(=O)N2CC[C@H]3Cc4c(cnn4-c4ccc(F)cc4)C[C@]3(C(=O)c3cc(C(F)(F)F)ccn3)C2)n1,0.2593501953701768,4.30731758998164,7.3420193245206145
C[C@]12C=CC(=O)C=C1[C@@H](F)C[C@H]1[C@@H]3C[C@H]4O[C@H](c5ccc(Oc6cccc(N)c6)cc5)O[C@@]4(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F,0.41755448006762363,5.024105420606219,8.030477849931854
CC(C)(C(=O)Nc1nncs1)[C@@H]1c2ccc(-c3ccc(C(=O)N4CCOCC4)cc3)nc2Oc2c(F)cccc21,0.36202416753583694,3.5152359080036923,6.054605518803356
C[C@H](NC(=O)C(F)(F)F)[C@H](Oc1ccc(C#N)cc1Br)c1cnc(C2CC2)nc1,0.6863893428024459,3.634084419292753,8.263287811456172
COCC[C@@]12CC[C@@]3(C)C[C@@H](O)CC3=C1CCc1cc(Nc3ncc(C)nc3C)ccc12,0.6257448053319878,4.348708205451899,5.658481001729284
CCC(=O)O[C@]1(C(=O)SCCOCCOCCP(=O)(O)O)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,0.15880862755799977,5.348481402507213,9.056890397687896
COc1c(C(=O)Nc2ccc(C(F)(F)F)cc2)cnc2c1c(Cl)nn2C1CCOCC1,0.6170671348866029,2.7273949502867474,5.786280165042836
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CSc1nc2cccnc2s1,0.5636035191198967,4.734023432510289,7.808643064312762
CCOc1cccc2c1-c1ccc(NS(C)(=O)=O)cc1C(c1ccccc1)O2,0.685398533555002,2.7535306155820205,7.012626717175009
C=CCC1Oc2ccc(Br)c(OC)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3,0.5515372424349512,3.597747801988149,6.543651384145163
COC(=O)c1ccsc1/C=C1\Oc2ccc(O)c(OC)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3,0.42618612945522827,3.2710529952570244,8.875948619874412
CC(C)(C(=O)NC(N)=O)[C@@H]1c2ccc(-c3ccc(NC4CC4)nc3)nc2Oc2c(F)cccc21,0.520777192011548,3.5299607625326592,6.062606230569407
CC[C@@]12C[C@@](C)(O)[C@](O)(c3ccccc3)C[C@H]1C=C(C)c1cc(O)ccc12,0.7348977055010075,4.122502275534048,8.913576509151978
CC1=CC(C)(C)Nc2ccc3c(c21)C(c1cc(C)cc(Br)c1)Oc1ccccc1-3,0.41762703373426485,3.2959670543542794,6.750005355476604
CC(Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc(C(C)C)cc1,0.6951529581819376,2.4722633180850124,5.523926945563787
COC(C)(C)C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,0.5496703944377855,4.7570624760675315,7.913676532396738
CC(C)Cn1ncc2cc(C(c3ccccc3)C(C)(C)C(=O)Nc3nncs3)ccc21,0.426882431776684,3.242052753542735,5.849161053018654
CN(C)c1cccc([C@H]2C[C@@]3(C)[C@@H](CC[C@@]3(O)C#CC(C)(C)C)[C@@H]3CCC4=CC(=O)CCC4=C32)c1,0.5052017846521274,4.51600500899856,6.845006418866527
